Name,Type,Priority
Apex car rentals,carrentalÿpointofinterestÿestablishment,4
First Flight Courier Ltd.,pointofinterestÿestablishment,5
Auto Gas India,homegoodsstoreÿstoreÿpointofinterestÿestablishment,4
Online Mobile Shopping,storeÿpointofinterestÿestablishment,4
Author SEO & SMM Consultant,pointofinterestÿestablishment,5
ZEN GARDEN,parkÿpointofinterestÿestablishment,5
The Professional Couriers,pointofinterestÿestablishment,4
The Corus Hotel,lodgingÿpointofinterestÿestablishment,4
The Metropolitan Hotel and Spa,lodgingÿpointofinterestÿestablishment,4
Hotel Ajanta,lodgingÿrestaurantÿfoodÿpointofinterestÿestablishment,4
The LaLiT New Delhi,lodgingÿpointofinterestÿestablishment,4
Anoop Hotel,lodgingÿpointofinterestÿestablishment,4
Trimrooms Uppal International,lodgingÿpointofinterestÿestablishment,5
Courtesy Education Pvt Ltd,pointofinterestÿestablishment,5
PC Jeweller,jewelrystoreÿstoreÿpointofinterestÿestablishment,2
TATA CMC - TCS iON Trng Partner,pointofinterestÿestablishment,5
Sargam Electronics,electronicsstoreÿstorepointofinterestÿestablishment,4
PERFECT CLINIC,doctorÿhealthpointofinterestÿestablishment,3
Aptech Computer Education,accountingÿfinancepointofinterestÿestablishment,4
Olmec Cosmetic Surgery and Hair Transplant Centre,beautysalonÿhaircareÿdoctorÿhealthÿpointofinterestÿestablishment,4
The Gym,gymÿhealthÿpointofinterestÿestablishment,3
World of Titan,storeÿpointofinterestÿestablishment,4
Delhi School of Architecture & Design,universityÿpointofinterestÿestablishment,3
H-2 Bharat Reshma,jewelrystoreÿclothingstoreÿstoreÿpointofinterestÿestablishment,2
Gulab,storeÿrestaurantÿfoodÿpointofinterestÿestablishment,3
GM Education,accountingÿfinanceÿpointofinterestÿestablishment,3
FIITJEE Kohat Centre,pointofinterestÿestablishment,5
Tuscany Spa,spaÿhealthÿpointofinterestÿestablishment,4
Windshield Experts,carrepairÿpointofinterestÿestablishment,4
Innobuzz,pointofinterestÿestablishment,5
Shoe Choice,shoestoreÿstoreÿpointofinterestÿestablishment,4
Presidium School Pitampura,schoolÿpointofinterestÿestablishment,3
karan holidayinn,lodgingÿpointofinterestÿestablishment,4
Dena Bank,bankÿfinanceÿpointofinterestÿestablishment,2
Hero Moto,storeÿpointofinterestÿestablishment,3
Shiva Glass Emporium,pointofinterestÿestablishment,5
Dr Mittal's Diagnostic Centre,doctorÿhealthÿpointofinterestÿestablishment,3
Kanchan Telecom,pointofinterestÿestablishment,5
Academy of Engineering Competence,pointofinterestÿestablishment,5
G K Sureka & Co,accountingÿfinanceÿpointofinterestÿestablishment,3
Royal Interior,hardwarestoreÿstoreÿgeneralcontractorÿpointofinterestÿestablishment,3
Sarvodaya Vidyalaya,schoolÿpointofinterestÿestablishment,3
RS Builders - Modular Kitchen Company,furniturestoreÿhomegoodsstoreÿstoreÿgeneralcontractorÿpointofinterestÿestablishment,4
Vishvas Meditation Center,healthÿpointofinterestÿestablishment,3
Dr SK Rajan,doctorÿhealthÿpointofinterestÿestablishment,3
Hbl Global Pvt Ltd,bankÿfinanceÿpointofinterestÿestablishment,2
Kotak Mahindra Bank,bankÿfinanceÿpointofinterestÿestablishment,2
Prince Auto Centre,cardealerÿstoreÿpointofinterestÿestablishment,4
Guru Nanak Public School,schoolÿpointofinterestÿestablishment,3
ICICI Bank,bankÿfinanceÿpointofinterestÿestablishment,2
UGC Net Coaching,pointofinterestÿestablishment,5
Blue Terra Spa Punjabi Bagh,beautysalonÿspaÿhealthÿpointofinterestÿestablishment,4
Travel Delight,travelagencyÿpointofinterestÿestablishment,4
Syndicate Bank,bankÿfinanceÿpointofinterestÿestablishment,3
Axis Bank,bankÿfinanceÿpointofinterestÿestablishment,2
Support Humanity,pointofinterestÿestablishment,5
Hind Telecom,store pointofinterest establishment,4
Kumarplastindia,pointofinterestÿestablishment,5
Metropolis,healthÿpointofinterestÿestablishment,3
industrial area puth khurd,realestateagency pointofinterest establishment,3
Pool Tycoon,pointofinterestÿestablishment,5
Appeal Group,carrepairÿstoreÿpointofinterestÿestablishment,5
Tansen Sangeet Mahavidyalaya,pointofinterestÿestablishment,5
Filling Clap,pointofinterestÿestablishment,5
De Lotus Corporation,realestateagencyÿpointofinterestÿestablishment,3
G.S. Apparel,pointofinterestÿestablishment,5
UCO Bank,bankÿfinanceÿpointofinterestÿestablishment,2
The tree House Playgroup Nursery & Daycare,schoolÿpointofinterestÿestablishment,3
CHAIR REPAIR IN DELHI,pointofinterestÿestablishment,5
YSM Life Skills Academy,placeofworshipÿpointofinterestÿestablishment,4
Preksha Papers,pointofinterestÿestablishment,5
Olive Electronics Pvt. Ltd.,electronicsstoreÿstoreÿpointofinterestÿestablishment,4
The Piccadily,lodgingÿpointofinterestÿestablishment,3
Hotel D'Presidente,lodgingÿpointofinterestÿestablishment,3
Corporation Bank,bankÿfinanceÿpointofinterestÿestablishment,3
Chopra Associates Janakpuri,realestateagencyÿpointofinterestÿestablishment,4
Image Services,storeÿpointofinterestÿestablishment,5
MAAC Janakpuri,schoolÿuniversityÿpointofinterestÿestablishment,3
Seasons India,homegoodsstoreÿstoreÿpointofinterestÿestablishment,4
Doc Suppliers,pointofinterestÿestablishment,5
AMX Detective Agency In Delhi 31 Yrs. Exp | Private Detectives In Delhi | Matrimonial Detectives,lawyerÿpointofinterestÿestablishment,3
Central Park,parkÿpointofinterestÿestablishment,5
N Krishna Medical Corner,pharmacy store health pointofinterest establishment,3
Paramount Industries,pointofinterestÿestablishment,5
TenderTiger,pointofinterestÿestablishment,5
OYO 2066 Vikaspuri,lodgingÿpointofinterestÿestablishment,3
DURABUILD,pointofinterestÿestablishment,5
Nangloi Post Office,postofficeÿfinanceÿpointofinterestÿestablishment,3
Guru Ram Dass Body Builders,pointofinterestÿestablishment,4
Neelam Lace Industry,pointofinterestÿestablishment,5
Bharti Enterprises,storeÿpointofinterestÿestablishment,4
Mp3FunLab,pointofinterestÿestablishment,5
State Bank of India,bankÿfinanceÿpointofinterestÿestablishment,3
P S Daima & Sons,storeÿpointofinterestÿestablishment,4
Corporation Bank,bank finance pointofinterest establishment,3
Abhi Creations,pointofinterestÿestablishment,5
Ferns N Petals,floristÿstoreÿpointofinterestÿestablishment,4
Muthoot Finance Ltd. Nangloi ? 2,financeÿpointofinterestÿestablishment,3
EXIDE BATTERY LTD,carrepairÿstoreÿpointofinterestÿestablishment,4
Bata showroom,shoestoreÿstoreÿpointofinterestÿestablishment,4
Dr Lal PathLabs,doctorÿhealthÿpointofinterestÿestablishment,3
True Vision,electronicsstoreÿstoreÿpointofinterestÿestablishment,5
Hindustan Plastic And Machine Corporation,pointofinterestÿestablishment,5
Syndicate Bank,bankÿfinanceÿpointofinterestÿestablishment,3
Nuga Best Health,healthÿpointofinterestÿestablishment,3
DXC Technology,pointofinterestÿestablishment,5
Axis Bank,bankÿfinanceÿpointofinterestÿestablishment,3
JP Clinic,healthÿpointofinterestÿestablishment,3
Accenture,pointofinterestÿestablishment,4
Fortis Hospital,hospitalÿpointofinterestÿestablishment,3
Blue Terra Spa Indirapuram,spaÿbeautysalonÿdoctorÿstoreÿhealthÿpointofinterestÿestablishment,4
Cyril Jehane,homegoodsstoreÿstoreÿpointofinterestÿestablishment,5
Puneet Hardware Store,hardwarestoreÿstoreÿpointofinterestÿestablishment,5
Pathik Vihar Sahkari Awas Samiti,pointofinterestÿestablishment,5
Croma - Aditya City Centre Ghaziabad,electronicsstoreÿstoreÿpointofinterestÿestablishment,5
International Trade Expo Centre Limited,pointofinterestÿestablishment,5
NIIT Technologies,pointofinterestÿestablishment,5
Santpg Pvt.ltd,pointofinterestÿestablishment,5
Nokia Networks,pointofinterestÿestablishment,5
Ginger Hotel in Noida East,lodgingÿpointofinterestÿestablishment,3
Park Ascent,barÿlodgingÿrestaurantÿfoodÿpointofinterestÿestablishment,3
Shelvik Industries Delhi,storeÿpointofinterestÿestablishment,5
Corporation Bank,bankÿfinanceÿpointofinterestÿestablishment,3
C. R. Saini Sr. Sec. Public School,schoolÿpointofinterestÿestablishment,3
V. K. Transformers,pointofinterestÿestablishment,5
Vijaya Bank,bankÿfinanceÿpointofinterestÿestablishment,3
Bosco Public School,schoolÿpointofinterestÿestablishment,3
Star International,pointofinterestÿestablishment,5
Bhatia Global Hospital,hospitalÿhealthÿpointofinterestÿestablishment,3
Dr Lal PathLabs,doctorÿhealthÿpointofinterestÿestablishment,3
Arogyam Ayurveda,hospitalÿhealthÿpointofinterestÿestablishment,3
Coolcut Club Salon,beautysalon pointofinterest establishment,5
Dr. Khandelwal,doctorÿhealthÿpointofinterestÿestablishment,3
G.D. Tec. Computer Education,pointofinterestÿestablishment,5
Darga Peer Baba,mosqueÿplaceofworshipÿpointofinterestÿestablishment,3
Nuga Best Health,healthÿpointofinterestÿestablishment,3
New Delhi Catters,veterinarycareÿpointofinterestÿestablishment,4
State Bank of India,bankÿfinanceÿpointofinterestÿestablishment,3
Spine Disc and Pain Clinic,healthÿpointofinterestÿestablishment,3
Paramount Group,pointofinterestÿestablishment,5
The Castle Rani Bagh Pitampura,lodgingÿpointofinterestÿestablishment,3
Shri Hari Medicos,pharmacyÿstoreÿhealthÿpointofinterestÿestablishment,3
Bajaj Allianz Life Insurance Co Ltd,pointofinterestÿestablishment,5
SHRI MAHESH ANIMAL CARE AND DOG SURGERY,veterinarycareÿpetstoreÿstoreÿhealthÿpointofinterestÿestablishment,4
HMG - Pitampura,lodgingÿpointofinterestÿestablishment,3
SMC Global Securities LTD.,pointofinterestÿestablishment,5
Max Multi Speciality Centre Pitampura,hospitalÿpointofinterestÿestablishment,3
IDAC,pointofinterestÿestablishment,5
Hotel City Park,lodgingÿpointofinterestÿestablishment,3
Board of Technical Education,pointofinterestÿestablishment,5
TenderTiger,pointofinterestÿestablishment,5
Laboratory Equipment- Air Shower Vacuum Oven Water Bath Mfg. Co,pointofinterestÿestablishment,5
N Krishna Medical Corner,pharmacyÿstoreÿhealthÿpointofinterestÿestablishment,3
Zed-Axis Technologies Pvt. Ltd.,pointofinterestÿestablishment,5
Bharti Communications,pointofinterestÿestablishment,5
NOVA SALES CORPORATION,furniturestoreÿhomegoodsstoreÿstoreÿpointofinterestÿestablishment,5
Atl Services,financeÿpointofinterestÿestablishment,4
Pahuja Automobile,carrepairÿstoreÿpointofinterestÿestablishment,5
Sim's,pointofinterest establishment,5
MAAC Janakpuri,schoolÿuniversityÿpointofinterestÿestablishment,3
Inox Decor,furniturestoreÿhomegoodsstoreÿstoreÿpointofinterestÿestablishment,5
Chopra Associates Janakpuri,realestateagencyÿpointofinterestÿestablishment,4
Hotel D'Presidente,lodgingÿpointofinterestÿestablishment,3
The Piccadily,lodgingÿpointofinterestÿestablishment,3
Shanti Home,lodgingÿpointofinterestÿestablishment,3
Consumer Help Society,pointofinterestÿestablishment,5
LIC Agent Recruitment Centre,insuranceagencyÿfinanceÿpointofinterestÿestablishment,3
Standard Mobile Home,pointofinterestÿestablishment,4
Lakme Salon - Model Town,beautysalonÿpointofinterestÿestablishment,3
Grand Plaza,restaurantÿfoodÿpointofinterestÿestablishment,2
Kotak Mahindra Bank,bankÿfinanceÿpointofinterestÿestablishment,4
Play Town,storeÿpointofinterestÿestablishment,5
Sant Nirankari Satsang Bhawan,pointofinterestÿestablishment,5
Hpm Industries Limited,pointofinterestÿestablishment,3
Manju Monga's Cookery Classes,foodÿpointofinterestÿestablishment,5
Ferns N Petals- Florist & Gifts Shop,floristÿbakeryÿstoreÿfoodÿpointofinterestÿestablishment,4
Union Bank of India,bankÿfinanceÿpointofinterestÿestablishment,2
Cushman & Wakefield,realestateagencyÿpointofinterestÿestablishment,3
Nps Pharmaceuticals,healthÿpointofinterestÿestablishment,4
Ashok Leyland Limited,pointofinterestÿestablishment,5
TAB Technologies,pointofinterestÿestablishment,5
Rosary Senior Secondary School,schoolÿpointofinterestÿestablishment,3
Queen Mary's School,schoolÿpointofinterestÿestablishment,3
Hotel Ajanta,lodgingÿrestaurantÿfoodÿpointofinterestÿestablishment,3
The Corus Hotel,lodgingÿpointofinterestÿestablishment,3
Anoop Hotel,lodgingÿpointofinterestÿestablishment,3
The Metropolitan Hotel and Spa,lodgingÿpointofinterestÿestablishment,3
Hare Krishna Guest House,lodgingÿpointofinterestÿestablishment,3
Hotel Kwality,lodgingÿpointofinterestÿestablishment,3
police station,police,1
Trimrooms Uppal International,lodgingÿpointofinterestÿestablishment,3
Hotel Godwin Deluxe,lodgingÿpointofinterestÿestablishment,3
Hotel City Star,lodgingÿpointofinterestÿestablishment,3
Hotel Delhi City Centre,restaurantÿfoodÿpointofinterestÿestablishment,3
THE SINGH EMPIRE,lodgingÿpointofinterestÿestablishment,3
Hotel Silver Shine,lodgingÿpointofinterestÿestablishment,3
Hotel Grand Godwin,lodgingÿpointofinterestÿestablishment,3
The Vivek Hotel,lodgingÿpointofinterestÿestablishment,3
BABA JODHI MANDIR,museumÿpointofinterestÿestablishment,4
Moolchand Medcity,hospitalÿdoctorÿhealthÿpointofinterestÿestablishment,2
police station,police,1
Golok dhm Temple,templeÿplaceofworshipÿpointofinterestÿestablishment,4
